Буква укр. мови;Частота ;Deresh - Golova Iakova;Deresh - Kult;Deresh - Namir;Deresh;Karpa - Bіtches Get Everythіng;Karpa - Froid by plakav;Karpa - 50 khvylyn travy;Karpa;Andruhovich - Lito Mileni;Andruhovich - Stari ludi;Andruhovich - Feliks Avstrya;Andruhovich
Т;0.0535000;0.06179519107665866;0.057091998437025136;0.0619258265732943;0.0600900;0.06811010638514435;0.06050180888349339;0.05935427763887379;0.0636478;0.0521789453850502;0.05351290454731667;0.058191796737651534;0.0561078
У;0.0336000;0.028648345288412633;0.030024554142124585;0.028553373141257946;0.0291235;0.02625632590578014;0.02732886187551171;0.02683715621263181;0.0268006;0.02598853328308794;0.03003891847603441;0.027246113157934966;0.0276595
Ф;0.0028000;0.0026833160876199164;0.0018427666584658726;0.0025664504313958137;0.0023197;0.0031308907771041908;0.002496541543822572;0.0024730949016197414;0.0027682;0.0016823234906193643;0.001925440393281442;0.0025988717838961676;0.0022902
Х;0.0119000;0.008330556481172943;0.008596361741848652;0.008524742387701673;0.0085116;0.009315316122255382;0.009933734769684968;0.009267311664311339;0.0095794;0.009461387311243304;0.008162638263006965;0.008839985935517405;0.0087939
Ц;0.0083000;0.009944053736473807;0.009310313222091974;0.009835910531044592;0.0096615;0.008920392318121303;0.008703613330483216;0.009280900097836721;0.0088724;0.010282361174665555;0.008346988938959443;0.009329185330133154;0.0092713
Ч;0.0141000;0.01660849892141216;0.017877730985011844;0.01665828378837316;0.0171044;0.017409218417291962;0.016895012160052916;0.018222089357538863;0.0172899;0.0186266856881376;0.017646456370340024;0.017095225719658172;0.0174818
Ш;0.0076000;0.009146074115645662;0.010154512607514822;0.009848807266880753;0.0098185;0.011367291351982965;0.010304787793968775;0.010218502011088162;0.0107537;0.01087453904336357;0.011644817697664891;0.010517786984238607;0.0108327
Щ;0.0056000;0.006831056314561813;0.006136123532902068;0.007475807873027337;0.0068417;0.0074424815871865545;0.007066140201578588;0.007065985433199261;0.0072291;0.006675459610777638;0.006493240475215076;0.0066997385840735025;0.0066491
І;0.0575000;0.050570862344130905;0.048896028403691325;0.04701719994669349;0.0484519;0.047830565473888205;0.04791020516812332;0.047844874442874226;0.0478672;0.050119781432532096;0.0462720196640721;0.043924755018115665;0.0455149
Ї;0.0065000;0.0037443659131166803;0.002850981924485159;0.0027856949406105313;0.0030075;0.003831168038042969;0.004553465917569764;0.004375475595173388;0.0042176;0.0038356975586121504;0.0031339614911921345;0.003500833167718955;0.0034756
Ь;0.0177000;0.009549448429470878;0.009098057376614229;0.00956078016653985;0.0093853;0.012877773118310214;0.010583077562181631;0.009878791172953582;0.0114855;0.007846356760248715;0.008664481769766488;0.010200571751792457;0.0094512
Є;0.0061000;0.003726827899472106;0.003449157489013348;0.0033445534935107922;0.0034624;0.006094854997821812;0.0033031785531351964;0.008193825415806067;0.0051468;0.0024763801781917043;0.0023863170831626384;0.003126289881216272;0.0028483
Ю;0.0093000;0.00488433680001403;0.00537393208777744;0.005214580189753973;0.0052062;0.006107069136094;0.005360102926882388;0.004919012936188716;0.0056264;0.00460283707033458;0.005335927898402294;0.006214361059728188;0.0057404
Я;0.0248000;0.016003437450674337;0.013680854040338258;0.01503329507301702;0.0147269;0.013553622102704617;0.014878419636771355;0.013371018588977063;0.0141091;0.014091141557427795;0.0148504711183941;0.015723174292571813;0.0152470
